     
index,name             ,hex    ,R  ,G  ,B  
177  ,Violet           ,#d787ff,215,135,255
178  ,Gold3            ,#d7af00,215,175,0  
179  ,LightGoldenrod3  ,#d7af5f,215,175,95 
180  ,Tan              ,#d7af87,215,175,135
181  ,MistyRose3       ,#d7afaf,215,175,175
182  ,Thistle3         ,#d7afd7,215,175,215
183  ,Plum2            ,#d7afff,215,175,255
184  ,Yellow3          ,#d7d700,215,215,0  
185  ,Khaki3           ,#d7d75f,215,215,95 
186  ,LightGoldenrod2  ,#d7d787,215,215,135
187  ,LightYellow3     ,#d7d7af,215,215,175
188  ,Grey84           ,#d7d7d7,215,215,215
189  ,LightSteelBlue1  ,#d7d7ff,215,215,255
190  ,Yellow2          ,#d7ff00,215,255,0  
191  ,DarkOliveGreen1  ,#d7ff5f,215,255,95 
192  ,DarkOliveGreen1  ,#d7ff87,215,255,135
193  ,DarkSeaGreen1    ,#d7ffaf,215,255,175
194  ,Honeydew2        ,#d7ffd7,215,255,215
195  ,LightCyan1       ,#d7ffff,215,255,255
196  ,Red1             ,#ff0000,255,0  ,0  
197  ,DeepPink2        ,#ff005f,255,0  ,95 
198  ,DeepPink1        ,#ff0087,255,0  ,135
199  ,DeepPink1        ,#ff00af,255,0  ,175
200  ,Magenta2         ,#ff00d7,255,0  ,215
201  ,Magenta1         ,#ff00ff,255,0  ,255
202  ,OrangeRed1       ,#ff5f00,255,95 ,0  
203  ,IndianRed1       ,#ff5f5f,255,95 ,95 
204  ,IndianRed1       ,#ff5f87,255,95 ,135
205  ,HotPink          ,#ff5faf,255,95 ,175
206  ,HotPink          ,#ff5fd7,255,95 ,215
207  ,MediumOrchid1    ,#ff5fff,255,95 ,255
208  ,DarkOrange       ,#ff8700,255,135,0  
209  ,Salmon1          ,#ff875f,255,135,95 
210  ,LightCoral       ,#ff8787,255,135,135
211  ,PaleVioletRed1   ,#ff87af,255,135,175
212  ,Orchid2          ,#ff87d7,255,135,215
213  ,Orchid1          ,#ff87ff,255,135,255
214  ,Orange1          ,#ffaf00,255,175,0  
215  ,SandyBrown       ,#ffaf5f,255,175,95 
216  ,LightSalmon1     ,#ffaf87,255,175,135
217  ,LightPink1       ,#ffafaf,255,175,175
218  ,Pink1            ,#ffafd7,255,175,215
219  ,Plum1            ,#ffafff,255,175,255
220  ,Gold1            ,#ffd700,255,215,0  
221  ,LightGoldenrod2  ,#ffd75f,255,215,95 
222  ,LightGoldenrod2  ,#ffd787,255,215,135
223  ,NavajoWhite1     ,#ffd7af,255,215,175
224  ,MistyRose1       ,#ffd7d7,255,215,215
225  ,Thistle1         ,#ffd7ff,255,215,255
226  ,Yellow1          ,#ffff00,255,255,0  
227  ,LightGoldenrod1  ,#ffff5f,255,255,95 
228  ,Khaki1           ,#ffff87,255,255,135
229  ,Wheat1           ,#ffffaf,255,255,175
230  ,Cornsilk1        ,#ffffd7,255,255,215
231  ,Grey100          ,#ffffff,255,255,255

**** greys

i = index - 232
r = g = b = 10 * i + 8

232  ,Grey3            ,#080808,8  ,8  ,8  
233  ,Grey7            ,#121212,18 ,18 ,18 
234  ,Grey11           ,#1c1c1c,28 ,28 ,28 
235  ,Grey15           ,#262626,38 ,38 ,38 
236  ,Grey19           ,#303030,48 ,48 ,48 
237  ,Grey23           ,#3a3a3a,58 ,58 ,58 
238  ,Grey27           ,#444444,68 ,68 ,68 
239  ,Grey30           ,#4e4e4e,78 ,78 ,78 
240  ,Grey35           ,#585858,88 ,88 ,88 
241  ,Grey39           ,#626262,98 ,98 ,98 
242  ,Grey42           ,#6c6c6c,108,108,108
243  ,Grey46           ,#767676,118,118,118
244  ,Grey50           ,#808080,128,128,128
245  ,Grey54           ,#8a8a8a,138,138,138
246  ,Grey58           ,#949494,148,148,148
247  ,Grey62           ,#9e9e9e,158,158,158
248  ,Grey66           ,#a8a8a8,168,168,168
249  ,Grey70           ,#b2b2b2,178,178,178
250  ,Grey74           ,#bcbcbc,188,188,188
251  ,Grey78           ,#c6c6c6,198,198,198
252  ,Grey82           ,#d0d0d0,208,208,208
253  ,Grey85           ,#dadada,218,218,218
254  ,Grey89           ,#e4e4e4,228,228,228
255  ,Grey93           ,#eeeeee,238,238,238
     
